idema,temMax,diaMax,mesMax,anioMax
0009X,402,23,8,2023
0016A,398,4,8,2018
0034X,397,4,8,2018
0042Y,401,27,8,2010
0061X,379,18,7,2023
0066X,396,23,8,2023
0073X,369,4,8,2018
0076,374,27,8,2010
0092X,398,28,6,2019
0106X,431,28,6,2019
0114X,409,28,6,2019
0120X,387,28,6,2019
0149X,425,18,7,2023
0158X,367,18,7,2023
0171X,422,18,7,2023
0194D,406,18,7,2023
0201D,Nan,Nan,Nan,Nan
0201X,394,27,8,2010
0222X,422,28,6,2019
0244X,375,5,8,2018
0252D,373,5,7,2015
0260X,396,18,7,2023
0281Y,360,28,6,2025
0284X,386,23,7,2009
0312X,379,18,7,2023
0320I,361,18,7,2023
0324A,406,28,6,2019
0360X,417,28,6,2019
0363X,390,18,7,2023
0367,430,28,6,2019
0370E,439,28,6,2019
0372C,443,18,7,2023
0385X,355,23,8,2023
0394X,427,18,7,2023
0411X,390,4,8,2018
0413A,433,18,7,2023
0421X,419,18,7,2023
0429X,454,18,7,2023
0433D,369,15,6,2022
1002Y,434,18,7,2022
1010X,425,18,7,2022
1012P,411,18,6,2022
1014A,439,18,6,2022
1021X,422,18,7,2022
1025A,415,18,7,2022
1025X,417,10,8,2012
1026X,409,10,8,2012
1033X,386,18,7,2022
1037X,393,23,8,2023
1037Y,397,10,8,2012
1038X,413,18,7,2022
1041A,400,18,6,2022
1044X,382,18,7,2022
1048X,410,10,8,2012
1049N,391,10,8,2012
1050J,405,23,8,2023
1052A,406,18,6,2022
1056K,421,18,6,2022
1057B,371,18,6,2022
1059X,387,18,7,2016
1060X,416,17,7,2022
1064L,432,23,8,2023
1069Y,375,10,8,2012
1074C,420,18,7,2022
1078C,429,10,8,2012
1078I,410,10,8,2012
1082,440,23,8,2023
1083B,425,23,8,2023
1083L,388,30,7,2020
1089U,433,23,8,2023
1096X,370,2,10,2023
1103X,361,23,8,2023
1109X,414,23,8,2023
1111X,373,23,8,2023
1124E,421,17,7,2022
1135C,422,17,7,2022
1152C,429,17,7,2022
1154H,407,11,8,2024
1159,384,3,8,2003
1167B,370,18,8,1987
1167H,Nan,Nan,Nan,Nan
1167J,287,23,8,2023
1174I,432,23,8,2023
1176A,368,17,7,2022
1178E,Nan,Nan,Nan,Nan
1178I,Nan,Nan,Nan,Nan
1178M,Nan,Nan,Nan,Nan
1178R,339,23,8,2023
1178Y,368,17,7,2022
1179B,398,17,7,2022
1183X,376,17,7,2022
1186P,406,17,7,2022
1191D,Nan,Nan,Nan,Nan
1199X,405,17,7,2022
1203D,346,4,5,2020
1207U,385,17,7,2022
1208H,350,4,5,2020
1210X,297,5,9,2023
1212E,360,7,9,1988
1221D,308,22,8,2023
1223P,409,17,7,2022
1226X,391,17,7,2022
1234P,414,17,7,2022
1249X,391,17,7,2022
1272B,400,17,7,2022
1276F,395,17,7,2022
1279X,394,17,7,2022
1283U,329,27,6,2012
1297E,370,23,8,2023
1302F,342,22,8,2023
1309C,393,17,7,2022
1327A,338,18,7,2016
1331A,351,15,10,2017
1341B,340,6,9,2021
1342X,352,15,10,2017
1344X,377,23,8,2023
1347T,360,19,6,1998
1351,327,15,10,2017
1354C,396,17,7,2006
1363X,391,23,8,2023
1387,396,28,8,1961
1387D,367,13,9,2020
1387E,377,12,8,2003
1390X,384,13,7,2022
1393,344,17,7,2006
1399,420,12,8,2003
1400,370,12,7,2022
1406X,379,17,7,2006
1410X,371,12,7,2022
1428,394,20,7,1990
1435C,394,12,7,2022
1442U,406,12,7,2022
1446X,384,23,8,2023
1466A,404,14,7,2022
1468X,395,12,7,2022
1473A,407,12,7,2022
1475X,391,14,7,2022
1476R,400,17,7,2006
1477V,407,7,8,2016
1484C,395,17,7,2006
1486E,380,6,7,1979
1489A,390,12,7,2022
1495,408,7,8,2016
1496X,392,12,7,2022
1505,412,20,7,1990
1518A,419,6,9,2016
1521I,412,23,8,2023
1521X,346,23,8,2023
1535I,Nan,Nan,Nan,Nan
1541B,393,23,8,2023
1542,328,23,8,2023
1549,415,17,7,2022
1561I,392,22,8,2023
1583X,424,17,7,2022
1631E,381,14,7,2022
1639X,378,23,8,2023
1658,387,17,7,2022
1679A,430,18,7,1990
1690A,441,14,7,2022
1696O,394,14,7,2022
1700X,412,14,7,2022
1701X,435,12,7,2022
1706A,412,14,7,2022
1719,377,7,7,2013
1723X,419,3,8,2018
1730E,399,3,8,2018
